AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Narsarsuaq,-45.419379,61.155952,75.000000,0,0,0,0,0,1,1,1,1,0,0,0
Exeter_MO,-3.475167,50.728519,40.000000,0,1,0,0,1,1,0,0,0,0,0,0
Tallahassee,-84.299350,30.445833,49.000000,1,1,1,1,1,1,1,1,1,1,1,1
CEILAP-Comodoro,-67.462875,-45.792153,49.000000,1,0,0,0,0,0,0,0,0,0,0,0
Fort_McKay,-111.640000,57.183500,267.000000,1,1,1,1,1,0,1,1,1,1,1,0
NEON_Sterling,-103.029297,40.461903,1372.000000,1,1,1,1,1,1,1,0,0,0,0,0
Chiayi,120.495975,23.495975,27.000000,1,1,0,0,0,0,0,1,1,1,1,1
Strzyzow,21.861300,49.878600,450.000000,1,1,1,1,1,1,1,1,1,0,0,0
ARM_Oliktok_AK,-149.880000,70.499500,2.000000,0,0,0,0,1,1,1,1,1,1,0,0
NEON-CPER,-104.744238,40.812444,1655.000000,0,1,1,1,0,0,0,0,0,0,0,0
Ieodo_Station,125.182447,32.122953,29.000000,0,0,0,1,1,1,1,1,1,1,1,1
LAQUILA_Coppito,13.350636,42.368386,656.000000,1,1,1,1,0,0,0,0,0,0,0,0
Toulouse_MF,1.374320,43.572610,160.000000,1,1,1,1,1,1,1,1,1,1,1,1
Bujumbura,29.383833,-3.380000,863.000000,1,1,1,1,1,0,0,0,0,0,0,0
Martova,36.953000,49.936000,120.000000,1,1,1,1,1,1,1,1,1,0,0,0
CEILAP-Neuquen,-68.136660,-38.952220,271.000000,1,1,1,1,1,1,1,1,0,0,0,0
Mongu_Inn,23.134333,-15.266667,1040.000000,1,0,0,0,0,0,0,0,0,0,0,0
El_Farafra,27.990167,27.058000,92.000000,1,1,1,1,1,1,1,1,1,1,1,1
Peterhof,29.826000,59.881000,58.000000,0,1,1,1,1,1,0,0,1,1,0,0
DRAGON_DenverLaCasa,-105.005180,39.779490,1601.000000,1,1,1,1,1,1,1,1,1,1,1,1
Sigma_Space_Corp,-76.836472,38.953000,44.800000,1,1,1,1,1,1,1,1,1,1,1,1
